song,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
Everyday,Buddy Holly,0.747,0.219,-12.562,0.0371,0.584,2.57e-05,0.107,0.498,135.562,39lnzOIUCSNaQmgBHoz7rt,129120
Smile,Nat King Cole,0.226,0.136,-19.203,0.0327,0.862,8.07e-06,0.302,0.263,79.37,1oDCK7PW72XEZ1pE5rh87A,173267
(We're Gonna) Rock Around The Clock,Bill Haley & His Comets,0.811,0.859,-6.317,0.168,0.205,3.73e-06,0.0761,0.784,90.686,1uRKT2LRANv4baowBWHfDS,129893
You Make Me Feel So Young - Remastered 1998,Frank Sinatra,0.577,0.306,-11.559,0.0427,0.383,0.0,0.18,0.568,125.166,2WaYW84yWij5NSCpgSeU2R,177400
I Fall In Love Too Easily,Chet Baker,0.532,0.0657,-19.136,0.0406,0.94,0.00488,0.0946,0.292,128.607,0F845nujLVqCb0XMZCh5Pc,201440
Volare (Nel Blu Di Pinto Di Blu) - Remastered 1998,Dean Martin,0.612,0.144,-12.204,0.0352,0.88,0.0,0.203,0.343,128.629,5OkKOkdVTKFrYi6GWXkMzR,181627
I Only Have Eyes for You,The Flamingos,0.552,0.313,-12.41,0.0296,0.916,0.0017,0.12,0.303,88.554,3YdKJzcoMZMacISlpY4QoP,202773
Hound Dog,Elvis Presley,0.494,0.756,-8.492,0.0499,0.733,0.00505,0.76,0.949,86.895,64Ny7djQ6rNJspquof2KoX,136027
Blue Moon,Billie Holiday,0.639,0.269,-11.435,0.0698,0.982,0.12,0.141,0.539,124.866,1pZn8AX1WulW8IO338hE5D,207827
Summertime,Louis Armstrong,0.172,0.0696,-21.295,0.0339,0.916,0.00199,0.137,0.103,167.974,2gNjmvuQiEd2z9SqyYi8HH,298133
Long Tall Sally (The Thing),Little Richard,0.474,0.608,-5.139,0.0825,0.755,0.0,0.0928,0.888,184.694,507IFqPuG8mBQoKebfGG9t,127427
My Funny Valentine,Chet Baker,0.438,0.00756,-26.44,0.0382,0.941,0.00643,0.109,0.277,133.32,4l9hml2UCnxoNI3yCdL1BW,141133
Summertime Blues,Eddie Cochran,0.714,0.886,-8.629,0.0554,0.116,0.184,0.18,0.954,156.351,3oAWTk92mZBxKBOKf8mR5v,119360
"Hallelujah, I Love Her So",Ray Charles,0.696,0.547,-5.954,0.169,0.792,0.0,0.155,0.623,73.203,5P11rW6aJErF37MTfRZS31,155507
Fever,Peggy Lee,0.838,0.171,-12.614,0.0729,0.23,0.0,0.11,0.397,135.925,3aPlQWU07jGgyHaBHVS5TS,199600
Put Your Head on My Shoulder,Paul Anka,0.549,0.433,-8.526,0.0327,0.906,0.0108,0.0774,0.486,116.068,7eqNATKM78MkWP6aHGXHEV,155080
The Great Pretender,The Platters,0.652,0.303,-8.573,0.0297,0.851,0.0,0.324,0.706,114.665,6Q2pkSKuM08SDOuAS5amQD,159067
Mannish Boy,Muddy Waters,0.598,0.735,-10.882,0.0973,0.44,0.000215,0.681,0.615,111.129,58PSYdY0GFg0LFb2PxYk4T,321133
A Teenager In Love,Dion & The Belmonts,0.555,0.377,-9.123,0.0295,0.671,0.0,0.128,0.619,78.986,0QGwOFQChzflLAmPq5NwKo,158253
That's Amore,Dean Martin,0.471,0.146,-13.6,0.0309,0.782,0.0,0.0888,0.595,78.554,4I4aQGNJ2HufloNtB65nxR,190400
Yakety Yak - 2007 Remaster,The Coasters,0.641,0.834,-7.831,0.242,0.626,0.000534,0.131,0.849,120.948,3Lbxie6whOW4eMt4jtI32k,116027
Wake up Little Susie - Single Version; 2006 Remaster,The Everly Brothers,0.741,0.666,-6.878,0.0326,0.238,0.0,0.312,0.941,93.686,7mVbL1b8HC1rW4Jle6ypG3,123000
I Can't Stop Loving You,Ray Charles,0.31,0.279,-13.552,0.0308,0.815,0.0,0.318,0.377,79.397,79nJj5dMyTsUzKvN5jUXsJ,256120
Mack the Knife,Bobby Darin,0.549,0.529,-12.291,0.108,0.76,0.0,0.206,0.464,82.755,3E5ndyOfO6vFDEIE42HA8o,184333
Blueberry Hill,Fats Domino,0.489,0.499,-9.702,0.0271,0.74,0.000236,0.156,0.829,133.341,06PdA0DLgF4BfAeUNZAbFG,147880
Rockin' Robin,Bobby Day,0.541,0.608,-13.083,0.106,0.298,0.0,0.234,0.938,171.992,4FlYcJnfkeBpowEHJ72Bmt,160080
"Good Golly, Miss Molly",Little Richard,0.563,0.741,-11.947,0.0486,0.602,0.00251,0.325,0.967,164.15,0ZvgXNstN4o2ZXPomtBYVp,129133
Money (That's What I Want) - Single Version / Mono,Barrett Strong,0.656,0.813,-7.324,0.033,0.349,0.0,0.114,0.96,132.313,6OsefWNJtsWqO7myze1HEX,158493
Come Go With Me,The Del-Vikings,0.566,0.534,-9.416,0.0409,0.713,0.0,0.0883,0.582,129.69,4IYyGIbMS5ZkxDXGfPIrXr,162293
Oh! Carol,Neil Sedaka,0.728,0.734,-3.234,0.0318,0.63,3.56e-05,0.137,0.965,135.078,5zvOXJrzzUlvXwyuwZ0toZ,135467
They Can't Take That Away From Me,Ella Fitzgerald,0.563,0.136,-17.402,0.0683,0.87,0.0,0.106,0.368,104.928,1V4NaFlrUCK49MXcdOcVeS,280000
Love Is Here To Stay - Remastered 1998,Frank Sinatra,0.547,0.208,-13.458,0.0334,0.676,0.0,0.1,0.424,108.999,3YCbx1QqGrnxMsPEZLC1CT,162840
Teach Me Tonight,Dinah Washington,0.558,0.231,-11.436,0.0812,0.805,0.0,0.142,0.403,73.103,0Rk9byjmZksAJX15onGns5,167493
C’Mon Everybody,Eddie Cochran,0.627,0.7,-9.657,0.0522,0.121,0.0111,0.188,0.856,175.33,7ItZM6DMZE2m1X7yIaRxjq,118227
Twilight Time - Single Version,The Platters,0.455,0.361,-12.562,0.0473,0.747,0.0,0.238,0.285,115.854,3MpGQae6zAFd7Z1FdLV9fV,168293
Splish Splash,Bobby Darin,0.645,0.943,-1.526,0.0393,0.385,0.0,0.37,0.965,147.768,40fD7ct05FvQHLdQTgJelG,131720
Roll Over Beethoven,Chuck Berry,0.715,0.797,-10.154,0.193,0.837,0.0,0.209,0.841,92.739,6C7aTTCUWRK7dD379yUT3W,144600
Earth Angel,The Penguins,0.487,0.338,-11.121,0.0271,0.84,0.0,0.196,0.433,78.983,7GnMzVWOHLBPcfco4L1GtE,171067
Reet Petite,Jackie Wilson,0.664,0.66,-6.526,0.13,0.447,0.0,0.298,0.873,84.345,3h4udS0WeWbsur3yfjvnm4,169240
Bye Bye Love,The Everly Brothers,0.547,0.523,-9.176,0.0572,0.724,0.0,0.103,0.89,169.598,0xK34uEDBKa9ZzJ6kelLJE,142907
"Come On, Let's Go",Ritchie Valens,0.616,0.724,-8.101,0.042,0.788,3.16e-06,0.128,0.809,81.402,4cRfSR0QxDlXRHTKyEOu93,124587
I Get Along Without You Very Well (Except Sometimes) - Vocal Version,Chet Baker,0.442,0.033,-23.063,0.041,0.922,0.000171,0.151,0.21,103.34,4gFlHAye7To29Fs4UszQUH,179640
You Send Me - Mono,Sam Cooke,0.572,0.365,-7.583,0.0276,0.88,0.0,0.125,0.41,96.022,1XPj5quoeV5Gd0paSUDpvm,165733
Magic Moments,Perry Como,0.719,0.257,-14.446,0.0435,0.88,2.61e-06,0.257,0.75,103.829,7bflxIMDz5mFxhQyYx1CEh,159907
Pennies From Heaven,Louis Prima,0.515,0.408,-11.96,0.194,0.452,0.0,0.0682,0.915,185.767,4tmy6FB76bR5eLmx0zO1mn,141667
At The Hop,Danny & The Juniors,0.407,0.826,-8.29,0.0495,0.693,1.57e-05,0.285,0.891,192.21,4LcrHUkRmXG3c0YD5VYutn,150867
Baby (You've Got What It Takes),Dinah Washington,0.67,0.596,-9.347,0.0627,0.852,0.00203,0.653,0.813,133.396,0DICNd5XQ1og9UeYzxoNFV,165760
"Shout, Pts. 1 & 2",The Isley Brothers,0.489,0.866,-7.433,0.0933,0.753,0.0,0.876,0.416,138.63,2ZNTPtYmAhN9vCwnAgqKn1,268560
Mess Around,Ray Charles,0.565,0.962,-2.981,0.064,0.437,0.0,0.056,0.906,148.808,7DJsL4jyXA39GDiHFQYQ0t,160227
April In Paris,Billie Holiday,0.496,0.127,-14.211,0.0382,0.927,7.07e-05,0.132,0.211,74.746,34zhjduFdQFhkRUJ230h9T,185587
True Love Ways,Buddy Holly,0.278,0.138,-18.739,0.0349,0.799,0.0557,0.209,0.308,83.203,2Aq3BiLhITGHe6YSzkzOvi,168307
Dream Lover,Bobby Darin,0.526,0.774,-1.692,0.0459,0.715,0.0,0.437,0.715,131.715,1KLpjQFgubHI3GkAICCNH3,150706
Ain't That A Shame,Fats Domino,0.486,0.501,-8.57,0.0326,0.767,7.6e-05,0.0679,0.942,122.894,4ZfQwNx3FlCN07cnUvekh3,152200
Papa Loves Mambo,Perry Como,0.674,0.498,-10.07,0.13,0.512,2.05e-06,0.404,0.747,81.075,62eAoNfrrS84177LOzJMQx,162107
Blue Suede Shoes,Carl Perkins,0.548,0.673,-7.318,0.0364,0.448,8.53e-05,0.342,0.965,168.891,5d6ZRqgbz26Sg4bk1oifQw,134446
Peggy Sue,Buddy Holly,0.676,0.424,-8.132,0.0329,0.947,0.000494,0.119,0.493,148.373,2OARIMw1hpehr86Iwmv04c,150960
Little Darlin',The Diamonds,0.631,0.587,-11.402,0.042,0.536,0.29,0.333,0.664,152.851,7ycFNferNuk6wAjBa0vWvl,129333
Love Letters In The Sand - Single Version,Pat Boone,0.571,0.196,-13.216,0.0278,0.811,0.0,0.142,0.555,88.728,1eqGYJJr2z2GXK1i0hD3BC,134560
Love Potion No. 9 - Remastered / Single Version,The Clovers,0.738,0.451,-12.949,0.146,0.572,0.0,0.175,0.793,128.853,5ytPMYb6dkoli8sNSEsdmZ,113200
Dream a Little Dream of Me (with Paul Weston & His Music From Hollywood),Doris Day,0.386,0.125,-17.695,0.0394,0.921,6.42e-06,0.0919,0.254,147.721,2HyPrPSANTIPkR6CfiytwY,223373
Chantilly Lace,The Big Bopper,0.489,0.806,-6.054,0.0858,0.841,2.96e-05,0.0687,0.944,172.269,07GtDOCxmye5KDWsTSACPk,145267
"The Theme from ""A Summer Place""",Percy Faith & His Orchestra,0.326,0.326,-15.144,0.0297,0.591,0.918,0.494,0.87,186.232,6zwvB879PJSpTyFcg2wwnL,142693
Strange Fruit,Billie Holiday,0.313,0.0437,-22.627,0.0315,0.989,0.148,0.209,0.0625,100.827,1CTex49P0iWwzUGsMNjgaV,192867
Sh-Boom,The Crew Cuts,0.67,0.24,-12.158,0.0697,0.863,0.0,0.231,0.578,130.205,7G2jAmiYUDZKyk7npVrgX8,168893
Donna - Single Version,Ritchie Valens,0.472,0.225,-12.581,0.0263,0.864,0.0,0.111,0.29,100.299,0VE4ayVlGs5DBoqOdgJ0Zv,150973
Rave On,Buddy Holly,0.566,0.711,-6.536,0.0335,0.611,6.59e-06,0.417,0.961,159.629,33aYzW5ToRjiFOzkubeJ8H,109960
I Get A Kick Out Of You,Frank Sinatra,0.395,0.375,-10.966,0.0381,0.555,0.0,0.576,0.775,178.105,3mKdw0slI6wmnb1FBrvwn2,194093
Lucille,Little Richard,0.676,0.708,-12.115,0.0698,0.592,0.000307,0.166,0.919,143.669,4YXKKnIZuk7UtXH5oC0ffa,143827
Sh-Boom,The Chords,0.655,0.515,-7.726,0.0452,0.612,0.0,0.228,0.885,136.683,2drXvACELcvwryaFRiRPdA,144493
Little Bitty Pretty One,Thurston Harris,0.704,0.87,0.844,0.218,0.795,2.45e-06,0.0558,0.932,88.019,1ye9IP87nKYZ5YAGaEv9A1,143053
Lollipop,The Chordettes,0.65,0.593,-6.374,0.122,0.585,0.00244,0.441,0.825,143.179,1hFB1obL3dCyIDigkojSTm,130533
Mr. Blue,The Fleetwoods,0.374,0.0889,-17.475,0.0356,0.931,6.88e-06,0.111,0.211,96.677,6bnFjTW3EnMG4BwreDnSHK,145133
It's Only Make Believe,Conway Twitty,0.461,0.466,-9.627,0.0598,0.86,2.76e-05,0.135,0.251,128.537,1xVOttVNT27FBTD8iHjOfU,132027
Why Do Fools Fall in Love,Frankie Lymon,0.439,0.458,-9.906,0.0675,0.617,6.02e-05,0.121,0.866,174.147,6vL5Kx5LmZzcL12DZl2OiY,138973
In The Still of the Night,The Five Satins,0.43,0.33,-10.621,0.0353,0.876,0.0,0.105,0.316,108.824,0GVvRmCoiLkhxJvlZy9bLk,187667
I'm A Man,Bo Diddley,0.513,0.546,-15.672,0.0391,0.333,0.0,0.17,0.834,85.527,760clbeDBWmBsBLbszWuNZ,164547
Sixteen Tons,Tennessee Ernie Ford,0.693,0.324,-15.085,0.205,0.796,0.0,0.246,0.382,144.14,3P6OwCX7Ofiaaqtvujb6i5,158307
Cry Me A River,Dinah Washington,0.26,0.205,-16.618,0.0312,0.821,0.00102,0.074,0.313,99.912,4ydtQJImyQg6UDFFZBzgxp,150893
Tequila,The Champs,0.6,0.528,-16.601,0.0385,0.752,0.685,0.0493,0.971,174.095,020XZ8mDVjzbnmvjL6GKls,135027
Maybellene,Chuck Berry,0.756,0.768,-10.701,0.112,0.735,0.0,0.182,0.783,118.208,3SQhmctWreNM0X6Zkm2K5R,143240
Misty,Johnny Mathis,0.216,0.267,-13.561,0.0351,0.876,2.7e-05,0.109,0.218,82.098,4uxsv9PjV3Yeyn51RdWvGJ,216573
Rip It Up,Little Richard,0.895,0.636,-6.043,0.06,0.672,3.31e-06,0.0207,0.967,95.922,5tHFPtV7dT01fxDe2AhKjD,141400
Crazy He Calls Me,Billie Holiday,0.483,0.145,-14.423,0.039,0.849,3.5e-06,0.214,0.284,72.863,4mQz22nF9cyWqwuErTqc6V,185280
Poor Little Fool - Remastered,Ricky Nelson,0.474,0.338,-11.528,0.0299,0.648,0.0,0.13,0.81,154.596,5ayybTSXNwcarDtxQKqvWX,153933
Sea Of Love,Phil Phillips & The Twilights,0.449,0.571,-5.848,0.0281,0.786,0.0,0.385,0.308,127.565,4gUDdUr5yK0JGlR49zSRVt,141933
I'm Your Hoochie Coochie Man,Muddy Waters,0.542,0.588,-9.268,0.0665,0.67,0.158,0.241,0.881,113.948,3KSchPNSklO5McIqRH3qYX,238533
Diana,Paul Anka,0.551,0.576,-8.49,0.0325,0.762,0.0,0.803,0.919,142.814,2k6qpHJsrKCCyvsHv2cPqR,140520
Maybe Baby,Buddy Holly & The Crickets,0.607,0.477,-12.904,0.0333,0.708,0.0,0.253,0.887,136.614,20UjAGdEjVb8DniNXvqHJy,122600
Who's Sorry Now,Connie Francis,0.522,0.326,-6.448,0.0273,0.755,2.26e-05,0.36,0.443,87.535,4bzvhZFlV9UqQ3EmV2i8s4,136627
Mr. Lonely,Bobby Vinton,0.245,0.293,-10.361,0.0303,0.817,0.0,0.177,0.344,168.984,5KG2ahk1cONbHvg3dBdTbx,161373
A Teenager's Romance,Ricky Nelson,0.51,0.484,-6.942,0.038,0.784,0.0,0.306,0.683,103.356,1Qn5jElT7XqjvVeJ8pYM2w,140773
Rags to Riches,Tony Bennett,0.409,0.435,-9.399,0.0453,0.907,7.17e-06,0.0559,0.567,78.136,4BH8EuPAxeFAh1rSWtnGdD,168480
Down in Mexico,The Coasters,0.614,0.589,-8.667,0.0573,0.7,0.0,0.069,0.894,111.879,4OnqJ1ml4Jgr5AAKNrrYCD,196467
Rock And Roll Music,Chuck Berry,0.529,0.768,-6.201,0.0446,0.418,0.000947,0.0655,0.871,165.225,09hxCc0SgV8u46gWsfeqJA,151773
My Prayer,The Platters,0.359,0.272,-8.393,0.0294,0.812,0.0,0.095,0.254,109.249,1ntGJDSakqsaw1KhptKrB5,167800
I Wonder Why,Dion & The Belmonts,0.506,0.699,-3.834,0.0348,0.569,0.0,0.158,0.901,103.463,7vAw4LLIms6X8ZHcbtoazz,141387
Stupid Cupid,Connie Francis,0.609,0.794,-4.739,0.0389,0.734,6.18e-05,0.0479,0.968,136.036,3nUrhP3KuK4R1qdxRk2Kgo,133747
('Til) I Kissed You,The Everly Brothers,0.576,0.458,-10.341,0.0442,0.626,0.0,0.377,0.629,141.567,4BMhwvrqMUSm65RRB0RAEa,144533
I'm Walkin',Fats Domino,0.65,0.89,-8.11,0.0553,0.611,0.056,0.0786,0.972,114.513,2gZlblsff9FKnhSIwB2ZsU,126667
Autumn In New York,Billie Holiday,0.587,0.098,-15.196,0.0607,0.958,7e-06,0.114,0.288,71.523,6o5RbQYhmF4yRRw7ZArxGL,224333
Chances Are (with Ray Conniff & His Orchestra),Johnny Mathis,0.212,0.316,-9.429,0.0314,0.885,0.0,0.103,0.271,83.597,6sAcECONsANle5n0rnP2at,182440
Bo Diddley,Bo Diddley,0.809,0.701,-12.484,0.0574,0.176,0.0,0.184,0.563,105.696,2R7uUQ0Dehu80gsOcydQC9,149013
Calendar Girl,Neil Sedaka,0.703,0.649,-7.727,0.0312,0.397,0.0,0.209,0.862,122.719,7Gpx2fNJiilvrf9Ss8qbit,159693
Just A Gigolo - Remastered,Louis Prima,0.525,0.403,-11.987,0.0945,0.597,0.0,0.0565,0.718,125.187,6lYeYgSkWh6TZDQy6YZuvG,283200
I Saw The Light,Hank Williams,0.349,0.273,-11.443,0.0325,0.95,6.21e-05,0.146,0.493,204.922,04bsExZXrwoRXYKKDWlTIU,166000
"Goodnight, Sweetheart, Goodnight",The Spaniels,0.558,0.243,-13.419,0.0459,0.517,0.0,0.144,0.342,72.871,5VLKQp1YTubqXJ02HnViz5,160280
You Belong To Me,Jo Stafford,0.314,0.139,-15.307,0.0317,0.95,0.0,0.101,0.182,101.939,2NDMLabAjx4oL7ezx2PNxS,193667
You Mean Everything to Me,Neil Sedaka,0.374,0.429,-7.801,0.0279,0.523,0.0,0.134,0.679,71.519,18YPNs20cBfgqkY8YCJlOH,157867
The Book of Love,The Monotones,0.431,0.643,-11.391,0.386,0.785,0.0,0.36,0.54,201.611,4rc5ZzvU4Ke8Yy2A2wRaIl,142453
Born Too Late,The Poni-Tails,0.552,0.284,-10.481,0.0259,0.821,8.15e-06,0.119,0.788,85.077,3ZyJfbh2Y9y15f45qY1pDJ,139013
Stagger Lee,Lloyd Price,0.439,0.638,-6.859,0.0307,0.707,0.0,0.175,0.781,69.57,7qoaMWT3eRCKG1RN6dVuOY,144627
Tequila (Original),The Champs,0.532,0.961,-4.056,0.0522,0.0519,0.905,0.0738,0.753,90.647,14bUqUj1EUnQabWeAqnj39,130320
The Nearness Of You,Ella Fitzgerald,0.409,0.105,-17.849,0.0484,0.926,0.0,0.126,0.239,81.884,39CdOo5GPGSIdxWDvyyWkr,342960
Sweet Little Sixteen,Chuck Berry,0.507,0.627,-7.838,0.0354,0.575,0.0,0.198,0.962,175.309,4GWHrdyVTC0AWwuRgoWzE7,180747
Since I Don't Have You (Alternative Take),The Skyliners,0.265,0.602,-4.231,0.0319,0.59,0.000293,0.299,0.663,70.722,4uAalOPic5WOPJF1kANXCt,158840
Black Coffee,Sarah Vaughan,0.38,0.155,-11.977,0.0311,0.973,1.7e-05,0.0977,0.127,94.23,56IQUfsUskt9VHe6YM6kue,200440
"Shake, Rattle And Roll",Bill Haley & His Comets,0.662,0.794,-6.942,0.152,0.206,0.0,0.149,0.841,168.106,5z2Gef9D3UgRquZXe7UUW4,149467
Love Is Strange,Mickey Baker,0.59,0.64,-4.174,0.0287,0.336,7.77e-05,0.0545,0.824,121.84,3Bh370SaZZ0BPHKKOqvAgy,172640
Tennessee Waltz,Patti Page,0.496,0.0857,-16.019,0.0336,0.966,0.000527,0.142,0.359,86.959,0CtbDuvvGLTLSFQ3GcQgEk,182907
He'll Have to Go,Jim Reeves,0.554,0.186,-15.846,0.0379,0.909,0.00144,0.11,0.2,81.181,7DH5dXVuQaqcKf9oTy9oUN,138640
Lonesome Town - 1990 Digital Remaster,Ricky Nelson,0.508,0.0965,-18.283,0.031,0.856,0.012,0.102,0.296,77.907,56XoFI6v7kbGNdM8ALYWof,135840
Blue Skies,Ella Fitzgerald,0.611,0.285,-10.225,0.0682,0.837,0.0,0.102,0.604,79.463,0SIzIfR6913S1oqTbyg8YC,226360
Buona Sera - Remastered,Louis Prima,0.547,0.3,-13.973,0.107,0.777,0.0,0.0653,0.811,97.793,0DXm5n7SBxCED9ssTvrx2J,187200
Lonely Teardrops,Jackie Wilson,0.524,0.478,-8.894,0.118,0.406,0.0,0.74,0.843,137.133,6TYR3IVgIwDK6ydc2EPEQq,166213
There Goes My Baby,The Drifters,0.241,0.564,-6.544,0.0347,0.591,0.0,0.704,0.642,77.378,2s4B4fUlVIkE4ELgoupjXL,129613
Broken Hearted Melody,Sarah Vaughan,0.433,0.512,-10.018,0.0345,0.837,0.0,0.185,0.794,132.38,43zIzwzVqI51alZlyKbKi4,146360
Jambalaya (On The Bayou),Hank Williams,0.526,0.291,-10.694,0.0346,0.706,0.0,0.0651,0.886,164.02,2KJOfVTxWkbtRMGByeEQ7V,172133
I Ain't Worried,OneRepublic,0.704,0.797,-5.927,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4h9wh7iOZ0GGn8QVp4RAOB,148486
Unstoppable,Sia,0.468,0.779,-4.839,0.0779,0.112,0.000373,0.101,0.26,173.799,1yvMUkIOTeUNtNWlWRgANS,217747
All of Me,John Legend,0.422,0.264,-7.064,0.0322,0.922,0.0,0.132,0.331,119.93,3U4isOIWM3VvDubwSI3y7a,269560
Easy On Me,Adele,0.604,0.366,-7.519,0.0282,0.578,0.0,0.133,0.13,141.981,0gplL1WMoJ6iYaPgMCL0gX,224695
I'm Not The Only One,Sam Smith,0.677,0.485,-5.795,0.0361,0.529,2.04e-05,0.0766,0.493,82.001,7795WJLVKJoAyVoOtCWqXN,239317
Hold My Hand,Lady Gaga,0.519,0.617,-4.287,0.0313,0.0387,0.0,0.401,0.222,147.708,0oWraSo5ASJ0h1BEagTyEw,225300
Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez,0.551,0.55,-5.339,0.0286,0.777,0.0,0.202,0.342,101.19,1Y3LN4zO1Edc2EluIoSPJN,176440
As It Was,Harry Styles,0.52,0.731,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.93,4Dvkj6JhhA12EX05fT7y2e,167303
When I Was Your Man,Bruno Mars,0.612,0.28,-8.648,0.0434,0.932,0.0,0.088,0.387,72.795,0nJW01T7XtvILxQgC5J7Wh,213827
lovely (with Khalid),Billie Eilish,0.351,0.296,-10.109,0.0333,0.934,0.0,0.095,0.12,115.284,0u2P5u6lvoDfwTYjAADbn4,200186
Yellow,Coldplay,0.429,0.661,-7.227,0.0281,0.00239,0.000121,0.234,0.285,173.372,3AJwUDP919kvQ9QcozQPxg,266773
Another Love,Tom Odell,0.445,0.537,-8.532,0.04,0.695,1.65e-05,0.0944,0.131,122.769,3JvKfv6T31zO0ini8iNItO,244360
Perfect,Ed Sheeran,0.599,0.448,-6.312,0.0232,0.163,0.0,0.106,0.168,95.05,0tgVpDi06FyKpA1z0VMD4v,263400
Heather,Conan Gray,0.357,0.425,-7.301,0.0333,0.584,0.0,0.322,0.27,102.078,4xqrdfXkTW4T0RauPLv3WA,198040
Watermelon Sugar,Harry Styles,0.548,0.816,-4.209,0.0465,0.122,0.0,0.335,0.557,95.39,6UelLqGlWMcVH1E5c4H7lY,174000
Night Changes,One Direction,0.672,0.52,-7.747,0.0353,0.859,0.0,0.115,0.37,120.001,5O2P9iiztwhomNh8xkR9lJ,226600
Love On The Brain,Rihanna,0.509,0.637,-4.83,0.0471,0.0717,1.08e-05,0.0789,0.378,172.006,5oO3drDxtziYU2H1X23ZIp,224000
Say You Won't Let Go,James Arthur,0.358,0.557,-7.398,0.059,0.695,0.0,0.0902,0.494,85.043,5uCax9HTNlzGybIStD3vDh,211467
Shape of You,Ed Sheeran,0.825,0.652,-3.183,0.0802,0.581,0.0,0.0931,0.931,95.977,7qiZfU4dY1lWllzX7mPBI3,233713
Heat Waves,Glass Animals,0.761,0.525,-6.9,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,02MWAaffLxlfxAUY7c5dvx,238805
Ghost,Justin Bieber,0.601,0.741,-5.569,0.0478,0.185,2.91e-05,0.415,0.441,153.96,6I3mqTwhRpn34SLVafSH7G,153190
Circles,Post Malone,0.695,0.762,-3.497,0.0395,0.192,0.00244,0.0863,0.553,120.042,21jGcNKet2qwijlDFuPiPb,215280
Memories,Maroon 5,0.775,0.327,-7.241,0.0557,0.841,0.0,0.0821,0.595,91.05,4cktbXiXOapiLBMprHFErI,189486
Adore You,Harry Styles,0.676,0.771,-3.675,0.0483,0.0237,7e-06,0.102,0.569,99.048,3jjujdWJ72nww5eGnfs2E7,207133
Stay With Me,Sam Smith,0.418,0.42,-6.444,0.0414,0.588,6.39e-05,0.11,0.184,84.094,5Nm9ERjJZ5oyfXZTECKmRt,172724
Thunder,Imagine Dragons,0.605,0.822,-4.833,0.0438,0.00671,0.134,0.147,0.288,167.997,1zB4vmk8tFRmM9UULNzbLB,187147
Something Just Like This,The Chainsmokers,0.617,0.635,-6.769,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,6RUKPb4LETWmmr3iAEQktW,247160
Photograph,Ed Sheeran,0.614,0.379,-10.48,0.0476,0.607,0.000464,0.0986,0.201,107.989,0ch8PUB8JRTMJqmdmfY46U,258987
Lover,Taylor Swift,0.359,0.543,-7.582,0.0919,0.492,1.58e-05,0.118,0.453,68.534,1dGr1c8CrMLDpV6mPbImSI,221307
The Scientist,Coldplay,0.557,0.442,-7.224,0.0243,0.731,1.46e-05,0.11,0.213,146.277,75JFxkI2RXiU7L9VXzMkle,309600
Love Yourself,Justin Bieber,0.609,0.378,-9.828,0.438,0.835,0.0,0.28,0.515,100.418,50kpGaPAhYJ3sGmk6vplg0,233720
Iris,The Goo Goo Dolls,0.315,0.715,-8.072,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925,2mtVxf50BYsKNtQoz8sfzm,289533
Before You Go,Lewis Capaldi,0.459,0.575,-4.858,0.0573,0.604,0.0,0.0885,0.183,111.881,2gMXnyrvIjhVBUZwvLZDMP,215107
Sign of the Times,Harry Styles,0.516,0.595,-4.63,0.0313,0.0275,0.0,0.109,0.222,119.972,5Ohxk2dO5COHF1krpoPigN,340707
Wrecking Ball,Miley Cyrus,0.53,0.422,-6.262,0.0342,0.407,0.0,0.107,0.349,119.964,2vwlzO0Qp8kfEtzTsCXfyE,221360
Thinking out Loud,Ed Sheeran,0.781,0.445,-6.061,0.0295,0.474,0.0,0.184,0.591,78.998,2L6ypr3l5t5mLkY3lXIpZE,281560
Just the Way You Are,Bruno Mars,0.635,0.841,-5.379,0.0422,0.0134,0.0,0.0622,0.424,109.021,2osJCvi2zzebMQTc7vvcAm,220734
My Universe,Coldplay,0.588,0.701,-6.39,0.0402,0.00813,0.0,0.2,0.443,104.988,3FeVmId7tL5YN8B7R3imoM,228000
you broke me first,Tate McRae,0.667,0.373,-9.389,0.05,0.785,0.0,0.0906,0.0823,124.148,45bE4HXI0AwGZXfZtMp8JR,169266
Story of My Life,One Direction,0.6,0.663,-5.802,0.0477,0.225,0.0,0.119,0.286,121.07,4nVBt6MZDDP6tRVdQTgxJg,245493
"Hey, Soul Sister",Train,0.673,0.886,-4.44,0.0431,0.185,0.0,0.0826,0.795,97.012,4HlFJV71xXKIGcU3kRyttv,216773
Mercy,Shawn Mendes,0.555,0.662,-4.952,0.0827,0.125,0.0,0.111,0.356,148.128,0AS63m1wHv9n4VVRizK6Hc,208733
I Like Me Better,Lauv,0.753,0.505,-7.621,0.255,0.534,2.58e-06,0.104,0.419,91.972,0EcQcdcbQeVJn9fknj44Be,197437
Stuck with U (with Justin Bieber),Ariana Grande,0.597,0.45,-6.658,0.0418,0.223,0.0,0.382,0.537,178.765,4HBZA5flZLE435QTztThqH,228482
